@relation 'cleaned_mobile_price-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R3-4,8-10,12,15-18-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6'

@attribute battery_power {'\'(-inf-650.7]\'','\'(650.7-800.4]\'','\'(800.4-950.1]\'','\'(950.1-1099.8]\'','\'(1099.8-1249.5]\'','\'(1249.5-1399.2]\'','\'(1399.2-1548.9]\'','\'(1548.9-1698.6]\'','\'(1698.6-1848.3]\'','\'(1848.3-inf)\''}
@attribute blue {No,Yes}
@attribute fc {'\'(-inf-1.9]\'','\'(1.9-3.8]\'','\'(3.8-5.7]\'','\'(5.7-7.6]\'','\'(7.6-9.5]\'','\'(9.5-11.4]\'','\'(11.4-13.3]\'','\'(13.3-15.2]\'','\'(15.2-17.1]\'','\'(17.1-inf)\''}
@attribute four_g {No,Yes}
@attribute int_memory {'\'(-inf-8.2]\'','\'(8.2-14.4]\'','\'(14.4-20.6]\'','\'(20.6-26.8]\'','\'(26.8-33]\'','\'(33-39.2]\'','\'(39.2-45.4]\'','\'(45.4-51.6]\'','\'(51.6-57.8]\'','\'(57.8-inf)\''}
@attribute pc {'\'(-inf-2]\'','\'(2-4]\'','\'(4-6]\'','\'(6-8]\'','\'(8-10]\'','\'(10-12]\'','\'(12-14]\'','\'(14-16]\'','\'(16-18]\'','\'(18-inf)\''}
@attribute px_width {'\'(-inf-649.8]\'','\'(649.8-799.6]\'','\'(799.6-949.4]\'','\'(949.4-1099.2]\'','\'(1099.2-1249]\'','\'(1249-1398.8]\'','\'(1398.8-1548.6]\'','\'(1548.6-1698.4]\'','\'(1698.4-1848.2]\'','\'(1848.2-inf)\''}
@attribute ram {'\'(-inf-630.2]\'','\'(630.2-1004.4]\'','\'(1004.4-1378.6]\'','\'(1378.6-1752.8]\'','\'(1752.8-2127]\'','\'(2127-2501.2]\'','\'(2501.2-2875.4]\'','\'(2875.4-3249.6]\'','\'(3249.6-3623.8]\'','\'(3623.8-inf)\''}
@attribute touch_screen {No,Yes}
@attribute wifi {Yes,No}
@attribute price_category {No,Yes}

@data
'\'(-inf-650.7]\'',Yes,'\'(-inf-1.9]\'',No,'\'(39.2-45.4]\'','\'(-inf-2]\'','\'(949.4-1099.2]\'','\'(1004.4-1378.6]\'',Yes,No,No
'\'(950.1-1099.8]\'',Yes,'\'(5.7-7.6]\'',No,'\'(26.8-33]\'','\'(12-14]\'','\'(1249-1398.8]\'','\'(1752.8-2127]\'',No,Yes,No
'\'(1249.5-1399.2]\'',No,'\'(9.5-11.4]\'',No,'\'(33-39.2]\'','\'(18-inf)\'','\'(1548.6-1698.4]\'','\'(2127-2501.2]\'',No,No,No
'\'(1698.6-1848.3]\'',No,'\'(-inf-1.9]\'',No,'\'(8.2-14.4]\'','\'(-inf-2]\'','\'(949.4-1099.2]\'','\'(2127-2501.2]\'',Yes,Yes,No
'\'(1698.6-1848.3]\'',Yes,'\'(-inf-1.9]\'',Yes,'\'(51.6-57.8]\'','\'(2-4]\'','\'(649.8-799.6]\'','\'(2501.2-2875.4]\'',Yes,Yes,No
'\'(1848.3-inf)\'',No,'\'(-inf-1.9]\'',Yes,'\'(26.8-33]\'','\'(12-14]\'','\'(799.6-949.4]\'','\'(1004.4-1378.6]\'',No,No,No
'\'(1249.5-1399.2]\'',No,'\'(7.6-9.5]\'',No,'\'(51.6-57.8]\'','\'(14-16]\'','\'(1398.8-1548.6]\'','\'(1378.6-1752.8]\'',No,Yes,No
'\'(1548.9-1698.6]\'',Yes,'\'(5.7-7.6]\'',Yes,'\'(-inf-8.2]\'','\'(10-12]\'','\'(1249-1398.8]\'','\'(630.2-1004.4]\'',No,No,No
'\'(-inf-650.7]\'',No,'\'(7.6-9.5]\'',Yes,'\'(14.4-20.6]\'','\'(12-14]\'','\'(649.8-799.6]\'','\'(2127-2501.2]\'',No,No,No
'\'(1099.8-1249.5]\'',Yes,'\'(1.9-3.8]\'',No,'\'(26.8-33]\'','\'(2-4]\'','\'(1398.8-1548.6]\'','\'(2501.2-2875.4]\'',No,No,No
'\'(1698.6-1848.3]\'',Yes,'\'(7.6-9.5]\'',Yes,'\'(57.8-inf)\'','\'(8-10]\'','\'(1249-1398.8]\'','\'(1752.8-2127]\'',No,No,No
'\'(800.4-950.1]\'',Yes,'\'(-inf-1.9]\'',Yes,'\'(57.8-inf)\'','\'(14-16]\'','\'(1848.2-inf)\'','\'(2127-2501.2]\'',No,No,No
'\'(1399.2-1548.9]\'',Yes,'\'(1.9-3.8]\'',No,'\'(57.8-inf)\'','\'(12-14]\'','\'(1548.6-1698.4]\'','\'(630.2-1004.4]\'',No,No,No
'\'(650.7-800.4]\'',Yes,'\'(-inf-1.9]\'',No,'\'(-inf-8.2]\'','\'(-inf-2]\'','\'(799.6-949.4]\'','\'(-inf-630.2]\'',Yes,Yes,No
'\'(650.7-800.4]\'',Yes,'\'(-inf-1.9]\'',Yes,'\'(8.2-14.4]\'','\'(12-14]\'','\'(1548.6-1698.4]\'','\'(1378.6-1752.8]\'',Yes,Yes,No
'\'(1099.8-1249.5]\'',No,'\'(5.7-7.6]\'',Yes,'\'(33-39.2]\'','\'(14-16]\'','\'(1698.4-1848.2]\'','\'(3249.6-3623.8]\'',No,No,Yes
'\'(1249.5-1399.2]\'',No,'\'(1.9-3.8]\'',Yes,'\'(33-39.2]\'','\'(2-4]\'','\'(649.8-799.6]\'','\'(1752.8-2127]\'',Yes,Yes,No
'\'(1698.6-1848.3]\'',Yes,'\'(3.8-5.7]\'',No,'\'(57.8-inf)\'','\'(8-10]\'','\'(1698.4-1848.2]\'','\'(2501.2-2875.4]\'',Yes,Yes,Yes
'\'(1548.9-1698.6]\'',No,'\'(-inf-1.9]\'',Yes,'\'(57.8-inf)\'','\'(-inf-2]\'','\'(949.4-1099.2]\'','\'(-inf-630.2]\'',Yes,No,No
'\'(650.7-800.4]\'',No,'\'(-inf-1.9]\'',No,'\'(8.2-14.4]\'','\'(12-14]\'','\'(-inf-649.8]\'','\'(1752.8-2127]\'',Yes,Yes,No
'\'(1548.9-1698.6]\'',Yes,'\'(11.4-13.3]\'',Yes,'\'(26.8-33]\'','\'(18-inf)\'','\'(1848.2-inf)\'','\'(1004.4-1378.6]\'',Yes,No,No
'\'(-inf-650.7]\'',Yes,'\'(3.8-5.7]\'',No,'\'(51.6-57.8]\'','\'(6-8]\'','\'(1249-1398.8]\'','\'(630.2-1004.4]\'',Yes,Yes,No
'\'(1249.5-1399.2]\'',Yes,'\'(1.9-3.8]\'',No,'\'(8.2-14.4]\'','\'(12-14]\'','\'(1548.6-1698.4]\'','\'(2875.4-3249.6]\'',No,No,Yes
'\'(950.1-1099.8]\'',Yes,'\'(3.8-5.7]\'',Yes,'\'(51.6-57.8]\'','\'(10-12]\'','\'(949.4-1099.2]\'','\'(1378.6-1752.8]\'',No,Yes,No
'\'(1399.2-1548.9]\'',Yes,'\'(9.5-11.4]\'',No,'\'(45.4-51.6]\'','\'(12-14]\'','\'(1099.2-1249]\'','\'(630.2-1004.4]\'',No,No,No
'\'(1249.5-1399.2]\'',No,'\'(-inf-1.9]\'',No,'\'(14.4-20.6]\'','\'(-inf-2]\'','\'(1548.6-1698.4]\'','\'(-inf-630.2]\'',Yes,Yes,No
'\'(1249.5-1399.2]\'',No,'\'(-inf-1.9]\'',No,'\'(45.4-51.6]\'','\'(-inf-2]\'','\'(1249-1398.8]\'','\'(2127-2501.2]\'',No,Yes,No
'\'(800.4-950.1]\'',No,'\'(1.9-3.8]\'',No,'\'(39.2-45.4]\'','\'(8-10]\'','\'(1249-1398.8]\'','\'(3249.6-3623.8]\'',Yes,Yes,Yes
'\'(1399.2-1548.9]\'',No,'\'(-inf-1.9]\'',No,'\'(39.2-45.4]\'','\'(10-12]\'','\'(949.4-1099.2]\'','\'(3249.6-3623.8]\'',No,No,Yes
'\'(650.7-800.4]\'',Yes,'\'(3.8-5.7]\'',No,'\'(33-39.2]\'','\'(8-10]\'','\'(1398.8-1548.6]\'','\'(2127-2501.2]\'',Yes,No,No
'\'(1698.6-1848.3]\'',Yes,'\'(-inf-1.9]\'',Yes,'\'(57.8-inf)\'','\'(-inf-2]\'','\'(799.6-949.4]\'','\'(2875.4-3249.6]\'',Yes,No,Yes
'\'(-inf-650.7]\'',No,'\'(-inf-1.9]\'',No,'\'(51.6-57.8]\'','\'(4-6]\'','\'(1249-1398.8]\'','\'(3623.8-inf)\'',Yes,Yes,Yes
'\'(1249.5-1399.2]\'',Yes,'\'(-inf-1.9]\'',No,'\'(33-39.2]\'','\'(-inf-2]\'','\'(-inf-649.8]\'','\'(2127-2501.2]\'',Yes,No,No
'\'(650.7-800.4]\'',Yes,'\'(-inf-1.9]\'',No,'\'(57.8-inf)\'','\'(6-8]\'','\'(-inf-649.8]\'','\'(3623.8-inf)\'',No,No,Yes
'\'(-inf-650.7]\'',Yes,'\'(13.3-15.2]\'',No,'\'(20.6-26.8]\'','\'(18-inf)\'','\'(1548.6-1698.4]\'','\'(2875.4-3249.6]\'',No,No,No
'\'(1099.8-1249.5]\'',Yes,'\'(1.9-3.8]\'',Yes,'\'(39.2-45.4]\'','\'(8-10]\'','\'(649.8-799.6]\'','\'(-inf-630.2]\'',Yes,Yes,No
'\'(1848.3-inf)\'',No,'\'(9.5-11.4]\'',Yes,'\'(57.8-inf)\'','\'(18-inf)\'','\'(799.6-949.4]\'','\'(2127-2501.2]\'',Yes,No,No
'\'(-inf-650.7]\'',Yes,'\'(-inf-1.9]\'',Yes,'\'(57.8-inf)\'','\'(-inf-2]\'','\'(1698.4-1848.2]\'','\'(2501.2-2875.4]\'',Yes,No,No
'\'(1399.2-1548.9]\'',No,'\'(9.5-11.4]\'',Yes,'\'(45.4-51.6]\'','\'(16-18]\'','\'(1249-1398.8]\'','\'(2501.2-2875.4]\'',Yes,Yes,Yes
'\'(950.1-1099.8]\'',No,'\'(7.6-9.5]\'',No,'\'(14.4-20.6]\'','\'(8-10]\'','\'(1398.8-1548.6]\'','\'(2875.4-3249.6]\'',Yes,No,Yes
'\'(1399.2-1548.9]\'',No,'\'(13.3-15.2]\'',Yes,'\'(33-39.2]\'','\'(18-inf)\'','\'(1249-1398.8]\'','\'(2875.4-3249.6]\'',No,Yes,Yes
'\'(1848.3-inf)\'',No,'\'(3.8-5.7]\'',Yes,'\'(39.2-45.4]\'','\'(4-6]\'','\'(1848.2-inf)\'','\'(2501.2-2875.4]\'',No,No,Yes
'\'(1698.6-1848.3]\'',Yes,'\'(-inf-1.9]\'',No,'\'(8.2-14.4]\'','\'(4-6]\'','\'(1099.2-1249]\'','\'(1378.6-1752.8]\'',No,Yes,No
'\'(650.7-800.4]\'',Yes,'\'(7.6-9.5]\'',Yes,'\'(8.2-14.4]\'','\'(10-12]\'','\'(1398.8-1548.6]\'','\'(2127-2501.2]\'',No,No,No
'\'(1099.8-1249.5]\'',Yes,'\'(3.8-5.7]\'',No,'\'(51.6-57.8]\'','\'(8-10]\'','\'(1099.2-1249]\'','\'(2501.2-2875.4]\'',No,Yes,No
'\'(-inf-650.7]\'',Yes,'\'(-inf-1.9]\'',Yes,'\'(45.4-51.6]\'','\'(12-14]\'','\'(949.4-1099.2]\'','\'(1752.8-2127]\'',No,No,No
'\'(-inf-650.7]\'',No,'\'(7.6-9.5]\'',No,'\'(14.4-20.6]\'','\'(12-14]\'','\'(1548.6-1698.4]\'','\'(2127-2501.2]\'',Yes,No,No
'\'(1548.9-1698.6]\'',No,'\'(11.4-13.3]\'',No,'\'(-inf-8.2]\'','\'(16-18]\'','\'(1249-1398.8]\'','\'(630.2-1004.4]\'',Yes,Yes,No
'\'(1548.9-1698.6]\'',Yes,'\'(-inf-1.9]\'',Yes,'\'(51.6-57.8]\'','\'(8-10]\'','\'(649.8-799.6]\'','\'(2501.2-2875.4]\'',Yes,Yes,No
'\'(1848.3-inf)\'',Yes,'\'(1.9-3.8]\'',No,'\'(26.8-33]\'','\'(16-18]\'','\'(1548.6-1698.4]\'','\'(2875.4-3249.6]\'',No,Yes,Yes
'\'(800.4-950.1]\'',Yes,'\'(1.9-3.8]\'',Yes,'\'(57.8-inf)\'','\'(8-10]\'','\'(1398.8-1548.6]\'','\'(2501.2-2875.4]\'',No,Yes,No
'\'(1399.2-1548.9]\'',Yes,'\'(-inf-1.9]\'',No,'\'(8.2-14.4]\'','\'(-inf-2]\'','\'(-inf-649.8]\'','\'(2501.2-2875.4]\'',No,Yes,No
'\'(1399.2-1548.9]\'',Yes,'\'(1.9-3.8]\'',Yes,'\'(51.6-57.8]\'','\'(4-6]\'','\'(1698.4-1848.2]\'','\'(1004.4-1378.6]\'',Yes,Yes,No
'\'(1399.2-1548.9]\'',Yes,'\'(1.9-3.8]\'',No,'\'(8.2-14.4]\'','\'(14-16]\'','\'(1398.8-1548.6]\'','\'(-inf-630.2]\'',No,No,No
'\'(1249.5-1399.2]\'',No,'\'(-inf-1.9]\'',No,'\'(8.2-14.4]\'','\'(2-4]\'','\'(-inf-649.8]\'','\'(1752.8-2127]\'',Yes,No,No
'\'(-inf-650.7]\'',No,'\'(-inf-1.9]\'',No,'\'(-inf-8.2]\'','\'(2-4]\'','\'(1698.4-1848.2]\'','\'(2127-2501.2]\'',No,Yes,No
'\'(800.4-950.1]\'',No,'\'(-inf-1.9]\'',No,'\'(57.8-inf)\'','\'(2-4]\'','\'(1099.2-1249]\'','\'(1004.4-1378.6]\'',No,Yes,No
'\'(1399.2-1548.9]\'',Yes,'\'(1.9-3.8]\'',No,'\'(8.2-14.4]\'','\'(4-6]\'','\'(1548.6-1698.4]\'','\'(2501.2-2875.4]\'',Yes,No,No
'\'(800.4-950.1]\'',No,'\'(9.5-11.4]\'',No,'\'(51.6-57.8]\'','\'(10-12]\'','\'(1099.2-1249]\'','\'(1004.4-1378.6]\'',Yes,No,No
'\'(800.4-950.1]\'',No,'\'(1.9-3.8]\'',No,'\'(39.2-45.4]\'','\'(4-6]\'','\'(649.8-799.6]\'','\'(2875.4-3249.6]\'',Yes,No,No
'\'(1848.3-inf)\'',No,'\'(1.9-3.8]\'',No,'\'(20.6-26.8]\'','\'(2-4]\'','\'(1249-1398.8]\'','\'(2127-2501.2]\'',Yes,No,No
'\'(1099.8-1249.5]\'',Yes,'\'(9.5-11.4]\'',No,'\'(51.6-57.8]\'','\'(16-18]\'','\'(799.6-949.4]\'','\'(2127-2501.2]\'',Yes,No,No
'\'(800.4-950.1]\'',Yes,'\'(9.5-11.4]\'',Yes,'\'(26.8-33]\'','\'(10-12]\'','\'(949.4-1099.2]\'','\'(2501.2-2875.4]\'',No,No,No
'\'(1249.5-1399.2]\'',No,'\'(-inf-1.9]\'',Yes,'\'(45.4-51.6]\'','\'(-inf-2]\'','\'(-inf-649.8]\'','\'(1752.8-2127]\'',No,No,No
'\'(1548.9-1698.6]\'',No,'\'(-inf-1.9]\'',Yes,'\'(-inf-8.2]\'','\'(-inf-2]\'','\'(1398.8-1548.6]\'','\'(2127-2501.2]\'',Yes,No,No
'\'(1848.3-inf)\'',No,'\'(3.8-5.7]\'',Yes,'\'(8.2-14.4]\'','\'(4-6]\'','\'(-inf-649.8]\'','\'(2501.2-2875.4]\'',No,Yes,No
'\'(1848.3-inf)\'',Yes,'\'(1.9-3.8]\'',Yes,'\'(8.2-14.4]\'','\'(10-12]\'','\'(1848.2-inf)\'','\'(630.2-1004.4]\'',No,Yes,No
'\'(650.7-800.4]\'',Yes,'\'(-inf-1.9]\'',Yes,'\'(26.8-33]\'','\'(-inf-2]\'','\'(1249-1398.8]\'','\'(1752.8-2127]\'',No,Yes,No
'\'(1249.5-1399.2]\'',No,'\'(-inf-1.9]\'',Yes,'\'(39.2-45.4]\'','\'(-inf-2]\'','\'(1698.4-1848.2]\'','\'(1378.6-1752.8]\'',Yes,Yes,No
'\'(800.4-950.1]\'',No,'\'(7.6-9.5]\'',Yes,'\'(45.4-51.6]\'','\'(12-14]\'','\'(649.8-799.6]\'','\'(3249.6-3623.8]\'',No,No,No
'\'(650.7-800.4]\'',Yes,'\'(9.5-11.4]\'',Yes,'\'(33-39.2]\'','\'(12-14]\'','\'(649.8-799.6]\'','\'(1752.8-2127]\'',No,Yes,No
'\'(950.1-1099.8]\'',Yes,'\'(1.9-3.8]\'',No,'\'(-inf-8.2]\'','\'(12-14]\'','\'(949.4-1099.2]\'','\'(1378.6-1752.8]\'',No,No,No
'\'(1399.2-1548.9]\'',No,'\'(1.9-3.8]\'',Yes,'\'(33-39.2]\'','\'(4-6]\'','\'(1398.8-1548.6]\'','\'(3249.6-3623.8]\'',Yes,Yes,Yes
'\'(950.1-1099.8]\'',No,'\'(-inf-1.9]\'',No,'\'(14.4-20.6]\'','\'(2-4]\'','\'(-inf-649.8]\'','\'(1378.6-1752.8]\'',Yes,No,No
'\'(1399.2-1548.9]\'',Yes,'\'(-inf-1.9]\'',Yes,'\'(45.4-51.6]\'','\'(-inf-2]\'','\'(799.6-949.4]\'','\'(2127-2501.2]\'',Yes,No,No
'\'(1698.6-1848.3]\'',No,'\'(1.9-3.8]\'',No,'\'(57.8-inf)\'','\'(2-4]\'','\'(649.8-799.6]\'','\'(3623.8-inf)\'',Yes,Yes,Yes
'\'(1548.9-1698.6]\'',Yes,'\'(-inf-1.9]\'',No,'\'(45.4-51.6]\'','\'(14-16]\'','\'(799.6-949.4]\'','\'(-inf-630.2]\'',No,Yes,No
'\'(950.1-1099.8]\'',No,'\'(9.5-11.4]\'',Yes,'\'(20.6-26.8]\'','\'(14-16]\'','\'(1249-1398.8]\'','\'(2127-2501.2]\'',No,Yes,No
'\'(-inf-650.7]\'',No,'\'(-inf-1.9]\'',No,'\'(39.2-45.4]\'','\'(-inf-2]\'','\'(1099.2-1249]\'','\'(-inf-630.2]\'',No,No,No
'\'(1099.8-1249.5]\'',No,'\'(11.4-13.3]\'',Yes,'\'(26.8-33]\'','\'(16-18]\'','\'(649.8-799.6]\'','\'(2127-2501.2]\'',Yes,Yes,No
'\'(1848.3-inf)\'',No,'\'(-inf-1.9]\'',No,'\'(26.8-33]\'','\'(-inf-2]\'','\'(-inf-649.8]\'','\'(2875.4-3249.6]\'',Yes,Yes,No
'\'(800.4-950.1]\'',No,'\'(7.6-9.5]\'',No,'\'(57.8-inf)\'','\'(8-10]\'','\'(1698.4-1848.2]\'','\'(2127-2501.2]\'',No,Yes,No
'\'(1848.3-inf)\'',Yes,'\'(9.5-11.4]\'',No,'\'(14.4-20.6]\'','\'(10-12]\'','\'(1848.2-inf)\'','\'(1752.8-2127]\'',No,Yes,No
'\'(800.4-950.1]\'',Yes,'\'(7.6-9.5]\'',Yes,'\'(39.2-45.4]\'','\'(12-14]\'','\'(1548.6-1698.4]\'','\'(2501.2-2875.4]\'',Yes,Yes,No
'\'(1249.5-1399.2]\'',Yes,'\'(7.6-9.5]\'',Yes,'\'(39.2-45.4]\'','\'(16-18]\'','\'(799.6-949.4]\'','\'(630.2-1004.4]\'',Yes,No,No
'\'(950.1-1099.8]\'',Yes,'\'(-inf-1.9]\'',Yes,'\'(26.8-33]\'','\'(-inf-2]\'','\'(649.8-799.6]\'','\'(1004.4-1378.6]\'',No,No,No
'\'(-inf-650.7]\'',No,'\'(-inf-1.9]\'',Yes,'\'(8.2-14.4]\'','\'(-inf-2]\'','\'(-inf-649.8]\'','\'(3623.8-inf)\'',No,Yes,No
'\'(1249.5-1399.2]\'',Yes,'\'(7.6-9.5]\'',No,'\'(39.2-45.4]\'','\'(18-inf)\'','\'(949.4-1099.2]\'','\'(1752.8-2127]\'',No,No,No
'\'(650.7-800.4]\'',Yes,'\'(7.6-9.5]\'',Yes,'\'(45.4-51.6]\'','\'(10-12]\'','\'(1249-1398.8]\'','\'(2501.2-2875.4]\'',Yes,Yes,No
'\'(1099.8-1249.5]\'',Yes,'\'(11.4-13.3]\'',No,'\'(14.4-20.6]\'','\'(12-14]\'','\'(1249-1398.8]\'','\'(630.2-1004.4]\'',Yes,Yes,No
'\'(800.4-950.1]\'',No,'\'(3.8-5.7]\'',No,'\'(45.4-51.6]\'','\'(10-12]\'','\'(1249-1398.8]\'','\'(3249.6-3623.8]\'',No,Yes,Yes
'\'(-inf-650.7]\'',Yes,'\'(1.9-3.8]\'',Yes,'\'(51.6-57.8]\'','\'(6-8]\'','\'(799.6-949.4]\'','\'(2127-2501.2]\'',Yes,Yes,No
'\'(-inf-650.7]\'',Yes,'\'(-inf-1.9]\'',Yes,'\'(14.4-20.6]\'','\'(-inf-2]\'','\'(1848.2-inf)\'','\'(3249.6-3623.8]\'',No,No,Yes
'\'(650.7-800.4]\'',Yes,'\'(1.9-3.8]\'',No,'\'(-inf-8.2]\'','\'(8-10]\'','\'(1099.2-1249]\'','\'(2501.2-2875.4]\'',Yes,Yes,No
'\'(-inf-650.7]\'',No,'\'(1.9-3.8]\'',No,'\'(45.4-51.6]\'','\'(10-12]\'','\'(649.8-799.6]\'','\'(2875.4-3249.6]\'',No,No,No
'\'(1548.9-1698.6]\'',No,'\'(11.4-13.3]\'',Yes,'\'(8.2-14.4]\'','\'(14-16]\'','\'(1099.2-1249]\'','\'(2501.2-2875.4]\'',No,No,Yes
'\'(950.1-1099.8]\'',Yes,'\'(1.9-3.8]\'',Yes,'\'(8.2-14.4]\'','\'(8-10]\'','\'(1099.2-1249]\'','\'(2127-2501.2]\'',No,No,No
'\'(800.4-950.1]\'',Yes,'\'(7.6-9.5]\'',No,'\'(26.8-33]\'','\'(8-10]\'','\'(649.8-799.6]\'','\'(-inf-630.2]\'',Yes,Yes,No
'\'(1848.3-inf)\'',No,'\'(-inf-1.9]\'',Yes,'\'(-inf-8.2]\'','\'(-inf-2]\'','\'(949.4-1099.2]\'','\'(2875.4-3249.6]\'',Yes,No,Yes
'\'(1399.2-1548.9]\'',Yes,'\'(-inf-1.9]\'',Yes,'\'(20.6-26.8]\'','\'(-inf-2]\'','\'(-inf-649.8]\'','\'(3623.8-inf)\'',No,No,Yes
'\'(1249.5-1399.2]\'',No,'\'(-inf-1.9]\'',No,'\'(-inf-8.2]\'','\'(-inf-2]\'','\'(1698.4-1848.2]\'','\'(630.2-1004.4]\'',Yes,No,No
'\'(650.7-800.4]\'',No,'\'(9.5-11.4]\'',Yes,'\'(8.2-14.4]\'','\'(14-16]\'','\'(1398.8-1548.6]\'','\'(-inf-630.2]\'',Yes,Yes,No
'\'(1698.6-1848.3]\'',No,'\'(-inf-1.9]\'',Yes,'\'(57.8-inf)\'','\'(-inf-2]\'','\'(1548.6-1698.4]\'','\'(-inf-630.2]\'',No,No,No
'\'(1249.5-1399.2]\'',Yes,'\'(-inf-1.9]\'',Yes,'\'(39.2-45.4]\'','\'(-inf-2]\'','\'(1848.2-inf)\'','\'(2875.4-3249.6]\'',Yes,Yes,Yes
'\'(1099.8-1249.5]\'',No,'\'(-inf-1.9]\'',Yes,'\'(8.2-14.4]\'','\'(-inf-2]\'','\'(1698.4-1848.2]\'','\'(1752.8-2127]\'',No,Yes,No
'\'(950.1-1099.8]\'',Yes,'\'(9.5-11.4]\'',No,'\'(51.6-57.8]\'','\'(12-14]\'','\'(-inf-649.8]\'','\'(2875.4-3249.6]\'',Yes,Yes,No
'\'(1249.5-1399.2]\'',Yes,'\'(3.8-5.7]\'',No,'\'(57.8-inf)\'','\'(6-8]\'','\'(949.4-1099.2]\'','\'(630.2-1004.4]\'',Yes,No,No
'\'(650.7-800.4]\'',Yes,'\'(5.7-7.6]\'',Yes,'\'(33-39.2]\'','\'(10-12]\'','\'(1548.6-1698.4]\'','\'(3623.8-inf)\'',Yes,Yes,Yes
'\'(-inf-650.7]\'',No,'\'(-inf-1.9]\'',Yes,'\'(51.6-57.8]\'','\'(8-10]\'','\'(649.8-799.6]\'','\'(3623.8-inf)\'',No,Yes,No
'\'(950.1-1099.8]\'',Yes,'\'(9.5-11.4]\'',No,'\'(8.2-14.4]\'','\'(12-14]\'','\'(-inf-649.8]\'','\'(630.2-1004.4]\'',Yes,No,No
'\'(800.4-950.1]\'',Yes,'\'(11.4-13.3]\'',Yes,'\'(8.2-14.4]\'','\'(16-18]\'','\'(1398.8-1548.6]\'','\'(2875.4-3249.6]\'',Yes,No,Yes
'\'(950.1-1099.8]\'',Yes,'\'(3.8-5.7]\'',Yes,'\'(33-39.2]\'','\'(6-8]\'','\'(-inf-649.8]\'','\'(2501.2-2875.4]\'',No,Yes,No
'\'(1099.8-1249.5]\'',No,'\'(-inf-1.9]\'',No,'\'(26.8-33]\'','\'(6-8]\'','\'(1548.6-1698.4]\'','\'(-inf-630.2]\'',Yes,No,No
'\'(1249.5-1399.2]\'',No,'\'(1.9-3.8]\'',No,'\'(57.8-inf)\'','\'(4-6]\'','\'(1698.4-1848.2]\'','\'(1378.6-1752.8]\'',Yes,Yes,No
'\'(950.1-1099.8]\'',Yes,'\'(5.7-7.6]\'',Yes,'\'(-inf-8.2]\'','\'(14-16]\'','\'(1698.4-1848.2]\'','\'(2127-2501.2]\'',No,No,No
'\'(1698.6-1848.3]\'',No,'\'(15.2-17.1]\'',No,'\'(33-39.2]\'','\'(16-18]\'','\'(799.6-949.4]\'','\'(2127-2501.2]\'',No,Yes,No
'\'(1099.8-1249.5]\'',Yes,'\'(-inf-1.9]\'',No,'\'(45.4-51.6]\'','\'(-inf-2]\'','\'(949.4-1099.2]\'','\'(1752.8-2127]\'',Yes,Yes,No
'\'(650.7-800.4]\'',No,'\'(-inf-1.9]\'',No,'\'(20.6-26.8]\'','\'(-inf-2]\'','\'(-inf-649.8]\'','\'(1378.6-1752.8]\'',Yes,Yes,No
'\'(800.4-950.1]\'',No,'\'(1.9-3.8]\'',Yes,'\'(57.8-inf)\'','\'(2-4]\'','\'(649.8-799.6]\'','\'(3249.6-3623.8]\'',No,No,No
'\'(-inf-650.7]\'',No,'\'(-inf-1.9]\'',No,'\'(26.8-33]\'','\'(18-inf)\'','\'(949.4-1099.2]\'','\'(630.2-1004.4]\'',Yes,No,No
'\'(1399.2-1548.9]\'',Yes,'\'(-inf-1.9]\'',No,'\'(33-39.2]\'','\'(-inf-2]\'','\'(-inf-649.8]\'','\'(2501.2-2875.4]\'',No,Yes,No
'\'(950.1-1099.8]\'',No,'\'(-inf-1.9]\'',Yes,'\'(39.2-45.4]\'','\'(-inf-2]\'','\'(1398.8-1548.6]\'','\'(1752.8-2127]\'',No,Yes,No
'\'(1399.2-1548.9]\'',No,'\'(5.7-7.6]\'',Yes,'\'(51.6-57.8]\'','\'(10-12]\'','\'(649.8-799.6]\'','\'(2501.2-2875.4]\'',No,No,No
'\'(1399.2-1548.9]\'',No,'\'(9.5-11.4]\'',Yes,'\'(39.2-45.4]\'','\'(18-inf)\'','\'(649.8-799.6]\'','\'(1752.8-2127]\'',Yes,Yes,No
'\'(950.1-1099.8]\'',No,'\'(1.9-3.8]\'',Yes,'\'(20.6-26.8]\'','\'(12-14]\'','\'(799.6-949.4]\'','\'(1752.8-2127]\'',Yes,Yes,No
'\'(1698.6-1848.3]\'',Yes,'\'(-inf-1.9]\'',No,'\'(45.4-51.6]\'','\'(-inf-2]\'','\'(949.4-1099.2]\'','\'(3623.8-inf)\'',No,Yes,Yes
'\'(-inf-650.7]\'',No,'\'(1.9-3.8]\'',No,'\'(14.4-20.6]\'','\'(6-8]\'','\'(-inf-649.8]\'','\'(630.2-1004.4]\'',No,No,No
'\'(950.1-1099.8]\'',Yes,'\'(11.4-13.3]\'',Yes,'\'(45.4-51.6]\'','\'(14-16]\'','\'(799.6-949.4]\'','\'(2127-2501.2]\'',No,Yes,No
'\'(1848.3-inf)\'',No,'\'(1.9-3.8]\'',Yes,'\'(-inf-8.2]\'','\'(10-12]\'','\'(1249-1398.8]\'','\'(630.2-1004.4]\'',Yes,No,No
